S_no,job_company,job_role,job_level,job_experience_min,job_experience_max,job_industry,job_functions,job_skills,,,,,,,,,,,,,,,,,,,,
57,Big Rattle Technologies,Big Rattle Technologies - Flutter Developer - Mobile App Designing (0-1 yrs) Mumbai,Entry level,,NA,Information Technology & Services, Engineering Information Technology ,C,,,,,,,,,,,,,,,,,,,,
58,Aindra Systems,Senior Software Engineer,46 applicants,,NA,Computer Software, Engineering Information Technology ,C Java Python Node.js AngularJS CSS Spring Hibernate SQL JavaScript AngularJS Angular NodeJS,,,,,,,,,,,,,,,,,,,,
59,Newgen KnowledgeWorks Pvt Ltd,Software Engineer - iOS Platform (3-4 yrs) Bangalore (Mobile Applications),Associate,0,2,Publishing, Engineering Information Technology ,C SQL,,,,,,,,,,,,,,,,,,,,
60,ABGI France,Hiring Android developers - Immediate Joinee,Entry level,,NA,Management Consulting, Engineering Information Technology ,Java,,,,,,,,,,,,,,,,,,,,
61,Numerator,Engineer - Python / ETL,Entry level,5,2,Market Research, Business Development Sales ,C C# Java Python SQL Angular React,,,,,,,,,,,,,,,,,,,,
62,Infiniti Research Ltd.,Front end Developer,Entry level,,NA,Market Research, Engineering Information Technology ,C HTML5 JavaScript Angular CSS3,,,,,,,,,,,,,,,,,,,,
63,Concorde Eye PLC,Co-Founder/CTO,37 applicants,10,NA,Information Technology & Services, General Business Management Business Development ,C Spark Java Python SQL Angular NodeJS,,,,,,,,,,,,,,,,,,,,
64,Square Panda Inc.,Square Panda - Software Engineer - IOS Development (4-6 yrs) Mumbai/Navi Mumbai,Associate,,NA,E-learning, Engineering Information Technology ,,,,,,,,,,,,,,,,,,,,,
65,Squareboat,Technical Lead,Mid-Senior level,5,NA,Information Technology & Services, Engineering Information Technology ,C,,,,,,,,,,,,,,,,,,,,
66,Neemtree,Java Developer,Entry level,1,3,Staffing & Recruiting, Engineering Information Technology ,Java HTML5 NA CSS SQL,,,,,,,,,,,,,,,,,,,,
67,Meyrahkee,SDET,Mid-Senior level,5,NA,Human Resources, Engineering ,Java,,,,,,,,,,,,,,,,,,,,
68,Milk Mantra,Lead App Developer,24 applicants,50,0,Food & Beverages, Engineering Information Technology ,Python HTML5 React CSS3,,,,,,,,,,,,,,,,,,,,
69,Mastercard,Manager Software Development Engineer,Mid-Senior level,,NA,Information Technology & Services, Engineering Information Technology ,C,,,,,,,,,,,,,,,,,,,,
70,Rapido,Rapido - Lead Web Developer - AngularJS/React.js (6-10 yrs) Bangalore (Frontend Developer),Associate,6,10,Information Technology & Services, Engineering Information Technology ,C CSS JavaScript Angular,,,,,,,,,,,,,,,,,,,,
71,GratitudeStone Solutions,iOS Developer - Objective C/SWIFT (4-14 yrs) Pune (Mobile Applications),Entry level,3,NA,Human Resources, Engineering Information Technology ,C Java,,,,,,,,,,,,,,,,,,,,
