S_no,job_company,job_role,job_level,job_experience_min,job_experience_max,job_industry,job_functions,job_skills
73,Pitstop - Car | Care | Convenience,Java Software Engineer,Associate,4,8,Automotive, Engineering Information Technology ,Oracle Java Python Spring SQL JavaScript
74,Acquia,Software Engineer,Entry level,,NA,Computer Software, Engineering Information Technology ,SQL PHP
75,Rakuten India,C/C++ Developer,Entry level,,NA,Internet, Engineering Information Technology ,C++ SQL
76,Epiq,Software Engineer,Entry level,5,7,Legal Services, Engineering Information Technology ,Oracle C# C++ Spring SQL JavaScript
77,Infosys,Specialist Programmer-Java Microservices,143 applicants,,NA,Information Technology & Services, Engineering Information Technology ,
78,Zomato,Android Developer,192 applicants,2,6,Internet, Engineering Information Technology ,Java C++
79,NoBroker.com,Software Developer In Test,243 applicants,3,5,Real Estate, Quality Assurance Engineering ,Java
80,"Adpay/Memoriams, by Ancestry",Junoir Android Developer,Entry level,6,NA,Computer Software, Engineering Information Technology ,Java SQL
81,FICO,Java/SpringReactive/Microservices/Angular Lead Developer,718 applicants,2,5,Computer Software, Sales Consulting ,Java Spring
82,Skylo Technologies,Sr. Software Engineer,Associate,4,NA,Telecommunications, Engineering Information Technology ,Java
83,"iQuanti, Inc.",Senior Software Engineer,74 applicants,4,NA,Marketing & Advertising, Information Technology ,Oracle Python SQL
84,Signify,Software test developer,Associate,6,8,Electrical & Electronic Manufacturing, Research Engineering ,C# Python NA
85,Noodle.ai,Noodle.ai - Python Developer - C++/Java (2-7 yrs) Bangalore,Entry level,,NA,Computer Software, Engineering Information Technology ,C++
86,BOLD,Software Engineer - UI,Entry level,2,5,Internet, Engineering Information Technology ,HTML5 CSS JavaScript CSS3
87,Siemens Technology India,Software Developer,Entry level,3,6,Information Technology & Services, Research ,Java
88,Sony Electronics,Senior Software Engineer,Mid-Senior level,6,8,Consumer Electronics, Engineering Information Technology ,Oracle Python
89,BP Ergo Ltd,Java Developer,Entry level,,NA,Furniture, Engineering Information Technology ,Java Spring SQL
90,MathWorks,Software Engineer,Mid-Senior level,5,NA,Computer Software, Research Consulting Engineering ,C++
