S_no,job_company,job_role,job_level,job_experience_min,job_experience_max,job_industry,job_functions,job_skills,,,,,Keywords,Occurances,Column1,,,,,,,,,,,,,,,,,,,,,,
71,Shaw Academy,Shaw Academy - Senior Backend Developer - Node.js/Python/Golang (8-15 yrs) Bangalore,Associate,8,8,E-learning,NA,Python Node.js Golang Golang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,DXC Technology,Professional 2 Application Developer (51007189),Mid-Senior level,,NA,Information Technology & Services,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,UWorld,Sr Developer - Warehouse & Analytics,39 applicants,5,3,E-learning,NA,Oracle Spark Python SQL Azure AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Oracle,Applications Developer 4,Associate,7,NA,Information Technology & Services,NA,Oracle C Java JavaScript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,IBM,Application Developer: Microsoft .NET,45 applicants,,NA,Information Technology & Services,NA,C C# ASP.NET Angular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Tekizma Inc.,Tekizma India Solutions - Application Developer - AngularJS/React.js (2-6 yrs) Bangalore,Entry level,2,6,Information Technology & Services,NA,ReactJS SQL JavaScript Angular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,DXC Technology,Professional 2 Application Developer,Mid-Senior level,,NA,Information Technology & Services,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Oracle,Applications Developer 3,Associate,4,NA,Information Technology & Services,NA,Oracle C# Python AngularJS ASP.NET SQL AngularJS AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Perfaware,OMS Developers/Sr OMS Developers_Immediate Requirement,47 applicants,2,5,Information Technology & Services,NA,Oracle Java Python NA SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,LeadSquared,Senior Backend Developer - Node.js/GraphQL (3-8 yrs) Bangalore (Backend Developer),Associate,4,NA,Computer Software,NA,Node.js SQL AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Oracle,Applications Developer 3,Associate,4,NA,Information Technology & Services,NA,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Oracle,Applications Developer 4,Associate,7,NA,Information Technology & Services,NA,Oracle C Spark Java SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,A.P. Moller - Maersk,Lead Developer,10 applicants,10,2,Logistics & Supply Chain,NA,Java Spring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Barclays,Senior Developer,Associate,1,NA,Financial Services,NA,C Java Spring Hibernate SQL AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Oracle,Applications Developer 2,Entry level,3,5,Information Technology & Services,NA,Oracle Java HTML5 JavaScript CSS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,CyberQ Consulting,Senior Developer,Associate,5,6,Information Technology & Services,NA,Oracle Java SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Oracle,Software Developer / Application Development Tools,Entry level,4,NA,Information Technology & Services,NA,Oracle Spark C# Java SQL JavaScript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Oracle,Applications Developer 3,Associate,4,NA,Information Technology & Services,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Oracle,Applications Developer 4,Associate,7,NA,Information Technology & Services,NA,Java JavaScript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
