
S_no,job_company,job_role,job_level,job_experience_min,job_experience_max,job_industry,job_functions,job_skills
88,Jobs via eFinancialCareers,Info Security Analyst,Associate,2,NA,Staffing & Recruiting,NA,C
89,CenturyLink,Associate Lead - Netbackup Administration,92 applicants,6,9,Information Technology & Services,NA,C
90,Zscaler,Senior Software Engineer - Windows Developer,22 applicants,5,NA,Computer & Network Security,NA,C C# C++
91,Primus Professional Services,Cloud Security Architect Opening in Leading Product MNC - Bangalore,Associate,10,4,Telecommunications,NA,C Java Python
92,CSGI,DevOps Engineer Senior,Associate,6,8,Computer Hardware,NA,C C# Python
93,Eaton,Senior Engineer,Mid-Senior level,6,7,Electrical & Electronic Manufacturing,NA,C Python C++
94,TechMasters corp,PAM Architect,19 applicants,10,NA,Information Technology & Services,NA,C
95,IBM,Security Services Specialist,Mid-Senior level,5,NA,Information Technology & Services,NA,C
96,Kaseya,Front End Web Developer,Entry level,5,5,Computer Software,NA,C HTML5 CSS CSS3
97,Irdeto,Senior Software Engineer,49 applicants,,NA,Information Technology & Services,NA,C Java NA C++ C/C++
98,PT Astra International Tbk,Astra - Full Stack Software Development Engineer II - Symfony/PHP/PostgreSQL (2-6 yrs) Any Location/Delhi/Delhi NCR,Entry level,,NA,Industrial Automation,NA,C HTML5 ReactJS CSS SQL JavaScript React PHP
99,ClearedJobs.Net,Requisition Specialist,Associate,0,2,Defense & Space,NA,C
 
Oracle,PostgreSQL,C,Spark,C#,Java,Python,Node.js,HTML5,ReactJS,AngularJS,NA,ASP.NET,C++,Golang,C/C++,CSS,Spring,Hibernate,SQL,JavaScript,Ruby,AngularJS,Angular,React,CSS3,Scala,NodeJS,PHP
4,0,89,1,4,13,24,2,3,2,0,12,0,7,1,3,3,1,0,7,8,5,0,2,2,1,1,0,2
