S_no,job_company,job_role,job_level,job_experience_min,job_experience_max,job_industry,job_functions,job_skills,,,,,,,,,,,,,,,,,,,,
85,India_India,Senior Cloud Software Engineer,Associate,8,12,Public Policy,NA,C Java Python NA SQL JavaScript,,,,,,,,,,,,,,,,,,,,
86,Lionbridge,Senior Software Engineer,Associate,6,NA,Translation & Localization,NA,C C# HTML5 AngularJS NA AngularJS Angular CSS3,,,,,,,,,,,,,,,,,,,,
87,Optum Global Solutions,"Architect Full Stack Cloud developer , Java , Microservices, Cloud Bangalore, KA",Associate,7,15,Information Technology & Services,NA,C Java Node.js SQL Angular React,,,,,,,,,,,,,,,,,,,,
88,Versa Networks,SENIOR SOFTWARE ENGINEER – JAVA BACKEND,150 applicants,5,8,Computer Networking,NA,PostgreSQL Java SQL,,,,,,,,,,,,,,,,,,,,
89,"Infobelt, Inc",DevOps Engineer,348 applicants,6,8,Information Technology & Services,NA,C Java Python Angular,,,,,,,,,,,,,,,,,,,,
90,MEKAS CLOUD SERVICES,Full Stack Engineer,134 applicants,,NA,Information Technology & Services,NA,Oracle C Java Python CSS SQL JavaScript Ruby Angular React PHP,,,,,,,,,,,,,,,,,,,,
91,NTT DATA Services,Azure Cloud Senior Developer,Associate,,NA,Information Technology & Services,NA,C C#,,,,,,,,,,,,,,,,,,,,
92,MindTickle,Salesforce Engineer,Entry level,,NA,Internet,NA,C HTML5 JavaScript CSS3,,,,,,,,,,,,,,,,,,,,
93,Cisco,Network Security Manager - Development,103 applicants,12,NA,Computer Networking,NA,C NA,,,,,,,,,,,,,,,,,,,,
94,Arminus,Cloud Engineer - 6-8 Years Perm BGLR,Entry level,5,3,Information Technology & Services,NA,Java,,,,,,,,,,,,,,,,,,,,
95,DXC Technology,Senior Platform Cloud Engineer,Mid-Senior level,6,8,Information Technology & Services,NA,C,,,,,,,,,,,,,,,,,,,,
96,Walmart Labs India,Software Engineer - Data Platforms,Entry level,8,NA,Information Technology & Services,NA,Spark Java SQL Scala,,,,,,,,,,,,,,,,,,,,
97,Infonyx Pty Ltd,Data Engineering,Entry level,,NA,Information Technology & Services,NA,C Java SQL,,,,,,,,,,,,,,,,,,,,
98,Sabre India,Senior Software Perf. Engineering,Associate,5,3,Computer Software,NA,C Java,,,,,,,,,,,,,,,,,,,,
99,Rave Technologies - A Northgate Public Services Company,Senior Data Engineer,Associate,8,10,Computer Software,NA,Oracle C SQL,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oracle,PostgreSQL,C,Spark,C#,Java,Python,Node.js,HTML5,ReactJS,AngularJS,NA,ASP.NET,C++,Golang,C/C++,CSS,Spring,Hibernate,SQL,JavaScript,Ruby,AngularJS,Angular,React,CSS3,Scala,NodeJS,PHP
12,7,80,6,3,35,44,3,3,3,1,19,1,3,5,2,2,5,2,41,11,9,1,10,8,2,2,2,4
,,,,,Python,SQL,JAVA,,,,,,,,,,,,,,,,,,,,,
,,,,,44,41,35,,,,,,,,,,,,,,,,,,,,,
